frameIndex,renderDurationMs,heapUsedMB,rssMB
989,61,7.43,166.66
990,63,6.73,103.35
991,52,6.82,111.26
992,57,6.90,119.18
993,53,6.99,127.09
994,54,7.08,135.00
995,62,7.16,142.92
996,56,7.25,150.83
997,52,7.34,158.75
998,53,7.43,166.70
999,64,6.73,103.45
